game_index,bet_type,model_prob,market_prob,fractional_kelly_used,bet_size,profit,expected_value,bankroll
0,none,0,0,0.0,0.0,0.0,0.0,1000.0
1,none,0,0,0.0,0.0,0.0,0.0,1000.0
2,none,0,0,0.0,0.0,0.0,0.0,1000.0
3,none,0,0,0.0,0.0,0.0,0.0,1000.0
4,none,0,0,0.0,0.0,0.0,0.0,1000.0
5,none,0,0,0.0,0.0,0.0,0.0,1000.0
6,none,0,0,0.0,0.0,0.0,0.0,1000.0
7,none,0,0,0.0,0.0,0.0,0.0,1000.0
8,none,0,0,0.0,0.0,0.0,0.0,1000.0
9,none,0,0,0.0,0.0,0.0,0.0,1000.0
10,none,0,0,0.0,0.0,0.0,0.0,1000.0
11,none,0,0,0.0,0.0,0.0,0.0,1000.0
12,none,0,0,0.0,0.0,0.0,0.0,1000.0
13,none,0,0,0.0,0.0,0.0,0.0,1000.0
14,none,0,0,0.0,0.0,0.0,0.0,1000.0
15,none,0,0,0.0,0.0,0.0,0.0,1000.0
16,none,0,0,0.0,0.0,0.0,0.0,1000.0
17,none,0,0,0.0,0.0,0.0,0.0,1000.0
18,none,0,0,0.0,0.0,0.0,0.0,1000.0
19,none,0,0,0.0,0.0,0.0,0.0,1000.0
20,none,0,0,0.0,0.0,0.0,0.0,1000.0
21,none,0,0,0.0,0.0,0.0,0.0,1000.0
22,none,0,0,0.0,0.0,0.0,0.0,1000.0
23,none,0,0,0.0,0.0,0.0,0.0,1000.0
24,none,0,0,0.0,0.0,0.0,0.0,1000.0
25,none,0,0,0.0,0.0,0.0,0.0,1000.0
26,none,0,0,0.0,0.0,0.0,0.0,1000.0
27,none,0,0,0.0,0.0,0.0,0.0,1000.0
28,none,0,0,0.0,0.0,0.0,0.0,1000.0
29,none,0,0,0.0,0.0,0.0,0.0,1000.0
30,none,0,0,0.0,0.0,0.0,0.0,1000.0
31,none,0,0,0.0,0.0,0.0,0.0,1000.0
32,none,0,0,0.0,0.0,0.0,0.0,1000.0
33,none,0,0,0.0,0.0,0.0,0.0,1000.0
34,none,0,0,0.0,0.0,0.0,0.0,1000.0
35,none,0,0,0.0,0.0,0.0,0.0,1000.0
36,none,0,0,0.0,0.0,0.0,0.0,1000.0
37,none,0,0,0.0,0.0,0.0,0.0,1000.0
38,none,0,0,0.0,0.0,0.0,0.0,1000.0
39,none,0,0,0.0,0.0,0.0,0.0,1000.0
40,none,0,0,0.0,0.0,0.0,0.0,1000.0
41,none,0,0,0.0,0.0,0.0,0.0,1000.0
42,none,0,0,0.0,0.0,0.0,0.0,1000.0
43,none,0,0,0.0,0.0,0.0,0.0,1000.0
44,none,0,0,0.0,0.0,0.0,0.0,1000.0
45,none,0,0,0.0,0.0,0.0,0.0,1000.0
46,none,0,0,0.0,0.0,0.0,0.0,1000.0
47,none,0,0,0.0,0.0,0.0,0.0,1000.0
48,none,0,0,0.0,0.0,0.0,0.0,1000.0
49,none,0,0,0.0,0.0,0.0,0.0,1000.0
50,none,0,0,0.0,0.0,0.0,0.0,1000.0
51,none,0,0,0.0,0.0,0.0,0.0,1000.0
52,none,0,0,0.0,0.0,0.0,0.0,1000.0
53,none,0,0,0.0,0.0,0.0,0.0,1000.0
54,none,0,0,0.0,0.0,0.0,0.0,1000.0
55,none,0,0,0.0,0.0,0.0,0.0,1000.0
56,none,0,0,0.0,0.0,0.0,0.0,1000.0
57,none,0,0,0.0,0.0,0.0,0.0,1000.0
58,none,0,0,0.0,0.0,0.0,0.0,1000.0
59,none,0,0,0.0,0.0,0.0,0.0,1000.0
60,none,0,0,0.0,0.0,0.0,0.0,1000.0
61,none,0,0,0.0,0.0,0.0,0.0,1000.0
62,none,0,0,0.0,0.0,0.0,0.0,1000.0
63,none,0,0,0.0,0.0,0.0,0.0,1000.0
64,none,0,0,0.0,0.0,0.0,0.0,1000.0
65,none,0,0,0.0,0.0,0.0,0.0,1000.0
66,none,0,0,0.0,0.0,0.0,0.0,1000.0
67,none,0,0,0.0,0.0,0.0,0.0,1000.0
68,none,0,0,0.0,0.0,0.0,0.0,1000.0
69,none,0,0,0.0,0.0,0.0,0.0,1000.0
70,none,0,0,0.0,0.0,0.0,0.0,1000.0
71,none,0,0,0.0,0.0,0.0,0.0,1000.0
72,none,0,0,0.0,0.0,0.0,0.0,1000.0
73,none,0,0,0.0,0.0,0.0,0.0,1000.0
74,none,0,0,0.0,0.0,0.0,0.0,1000.0
75,none,0,0,0.0,0.0,0.0,0.0,1000.0
76,none,0,0,0.0,0.0,0.0,0.0,1000.0
77,none,0,0,0.0,0.0,0.0,0.0,1000.0
78,none,0,0,0.0,0.0,0.0,0.0,1000.0
79,none,0,0,0.0,0.0,0.0,0.0,1000.0
80,none,0,0,0.0,0.0,0.0,0.0,1000.0
81,none,0,0,0.0,0.0,0.0,0.0,1000.0
82,none,0,0,0.0,0.0,0.0,0.0,1000.0
83,none,0,0,0.0,0.0,0.0,0.0,1000.0
84,none,0,0,0.0,0.0,0.0,0.0,1000.0
85,none,0,0,0.0,0.0,0.0,0.0,1000.0
86,none,0,0,0.0,0.0,0.0,0.0,1000.0
87,none,0,0,0.0,0.0,0.0,0.0,1000.0
88,none,0,0,0.0,0.0,0.0,0.0,1000.0
89,none,0,0,0.0,0.0,0.0,0.0,1000.0
90,none,0,0,0.0,0.0,0.0,0.0,1000.0
91,none,0,0,0.0,0.0,0.0,0.0,1000.0
92,none,0,0,0.0,0.0,0.0,0.0,1000.0
93,none,0,0,0.0,0.0,0.0,0.0,1000.0
94,none,0,0,0.0,0.0,0.0,0.0,1000.0
95,none,0,0,0.0,0.0,0.0,0.0,1000.0
96,none,0,0,0.0,0.0,0.0,0.0,1000.0
97,none,0,0,0.0,0.0,0.0,0.0,1000.0
98,none,0,0,0.0,0.0,0.0,0.0,1000.0
99,none,0,0,0.0,0.0,0.0,0.0,1000.0
100,none,0,0,0.0,0.0,0.0,0.0,1000.0
101,none,0,0,0.0,0.0,0.0,0.0,1000.0
102,none,0,0,0.0,0.0,0.0,0.0,1000.0
103,none,0,0,0.0,0.0,0.0,0.0,1000.0
104,none,0,0,0.0,0.0,0.0,0.0,1000.0
105,none,0,0,0.0,0.0,0.0,0.0,1000.0
106,none,0,0,0.0,0.0,0.0,0.0,1000.0
107,none,0,0,0.0,0.0,0.0,0.0,1000.0
108,none,0,0,0.0,0.0,0.0,0.0,1000.0
109,none,0,0,0.0,0.0,0.0,0.0,1000.0
110,none,0,0,0.0,0.0,0.0,0.0,1000.0
